dataset,n_samples,n_lfs,avg_lfs_per_sample,min_lfs_per_sample,max_lfs_per_sample,no_coverage_samples,no_coverage_rate,avg_lf_agreement,class_distribution
census,16281,83,4.461028192371476,0,12,156,0.009581721024507094,0.8415175095399269,"{0: 12435, 1: 3846}"
imdb,25000,5,1.18112,0,4,3086,0.12344,0.6394735568781148,"{0: 12500, 1: 12500}"
yelp,38000,8,1.472,0,6,6488,0.17073684210526316,0.7250078265633562,"{0: 19000, 1: 19000}"
youtube,1686,10,1.7402135231316727,0,6,161,0.09549228944246738,0.5923564504101417,"{0: 811, 1: 875}"
sms,4571,73,0.5278932399912492,0,5,2704,0.5915554583242179,0.9710308502633558,"{0: 3951, 1: 620}"
spouse,2811,9,0.3849163998577019,0,5,2015,0.7168267520455354,0.635483870967742,"{0: 2585, 1: 226}"
cdr,8430,33,2.038671411625148,0,8,923,0.10948991696322657,0.5663973951321054,"{0: 5526, 1: 2904}"
commercial,64130,4,2.176641197567441,1,4,0,0.0,0.7916043929279174,"{0: 45448, 1: 18682}"
tennis,6959,6,3.990372179910907,3,6,0,0.0,0.8735115198543851,"{0: 4214, 1: 2745}"
basketball,17970,4,1.9711741791875348,1,3,0,0.0,0.6347759625489634,"{0: 17041, 1: 929}"
agnews,120000,9,0.92755,0,5,37409,0.31174166666666664,0.5736563347944061,"{0: 30000, 1: 30000, 2: 30000, 3: 30000}"
trec,5033,68,1.7301808066759388,0,6,238,0.04728789986091794,0.582132984140841,"{0: 1090, 1: 1142, 2: 1081, 3: 78, 4: 767, 5: 875}"
semeval,2527,164,1.2655322516818361,1,2,0,0.0,0.5514157973174366,"{0: 402, 1: 477, 2: 321, 3: 229, 4: 109, 5: 79, 6: 763, 7: 75, 8: 72}"
chemprot,16075,26,1.5460653188180404,0,7,2307,0.14351477449455677,0.18329623679847226,"{0: 677, 1: 4258, 2: 2074, 3: 5119, 4: 500, 5: 741, 6: 73, 7: 62, 8: 1873, 9: 698}"
