dataset,lf_index,coverage,accuracy,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,conflict_rate,positive_bias,n_abstain,n_positive,n_negative,n_labeled,total_samples,true_negatives,false_positives,false_negatives,true_positives
census,0,0.14710398624163135,0.9974947807933194,0.0,0.0,0.0,0.9974947807933194,1.0,0.9987458193979933,0.4987473903966597,0.5,0.49937290969899667,0.9949958377099124,0.9974947807933194,0.9962437421886456,0.00043543169942771834,0.0,13886,0,2395,2395,16281,,,,
census,1,0.0402923653338247,0.9878048780487805,0.9878048780487805,1.0,0.9938650306748467,0.0,0.0,0.0,0.49390243902439024,0.5,0.49693251533742333,0.9757584770969662,0.9878048780487805,0.9817447254227144,0.7694896242288278,1.0,15625,656,0,656,16281,,,,
census,2,0.024199987715742277,0.949238578680203,0.0,0.0,0.0,0.949238578680203,1.0,0.9739583333333333,0.4746192893401015,0.5,0.48697916666666663,0.9010538792548121,0.949238578680203,0.9245188240270726,0.010825439783491205,0.0,15887,0,394,394,16281,,,,
census,3,0.21724709784411278,0.9875600791631326,0.0,0.0,0.0,0.9875600791631326,1.0,0.9937411095305831,0.4937800395815663,0.5,0.49687055476529157,0.9752749099566927,0.9875600791631326,0.9813790487956819,0.004989545713742634,0.0,12744,0,3537,3537,16281,,,,
census,4,0.2549597690559548,0.9812093471452662,0.0,0.0,0.0,0.9812093471452662,1.0,0.9905155642023347,0.4906046735726331,0.5,0.49525778210116733,0.9627717829252395,0.9812093471452662,0.9719031300881978,0.001799451167393945,0.0,12130,0,4151,4151,16281,,,,
census,5,0.02696394570358086,0.9544419134396356,0.0,0.0,0.0,0.9544419134396356,1.0,0.9766899766899767,0.4772209567198178,0.5,0.48834498834498835,0.9109593661303128,0.9544419134396356,0.9321938501892943,0.023832221163012392,0.0,15842,0,439,439,16281,,,,
census,6,0.017197960813217863,0.975,0.975,1.0,0.9873417721518987,0.0,0.0,0.0,0.4875,0.5,0.49367088607594933,0.950625,0.975,0.9626582278481012,0.6480061349693251,1.0,16001,280,0,280,16281,,,,
census,7,0.04950555862661998,0.8945409429280397,0.0,0.0,0.0,0.8945409429280397,1.0,0.9443352979698755,0.4472704714640198,0.5,0.47216764898493774,0.8002034985745864,0.8945409429280397,0.8447465878862037,0.029877772747849706,0.0,15475,0,806,806,16281,,,,
census,8,0.029850746268656716,0.9732510288065843,0.0,0.0,0.0,0.9732510288065843,1.0,0.986444212721585,0.48662551440329216,0.5,0.4932221063607925,0.9472175650730749,0.9732510288065843,0.9600578448915837,0.02654867256637168,0.0,15795,0,486,486,16281,,,,
census,9,0.010134512622074812,0.8848484848484849,0.0,0.0,0.0,0.8848484848484849,1.0,0.9389067524115756,0.44242424242424244,0.5,0.4694533762057878,0.7829568411386593,0.8848484848484849,0.8307902172853943,0.08494208494208494,0.0,16116,0,165,165,16281,,,,
